,feature,brh_index
545,Alessandro Carloni,11.0
546,Alessandro Gassman,11.0
547,Alessandro Lindblad,11.0
548,Alessandro Nivola,9.0
549,Alessandro Preziosi,11.0
550,Alex,10.0
551,Alex 'Hitch' Hitchens,11.0
552,Alex (voice),10.0
553,Alex / Chad Wagner,11.0
554,Alex Barringer,9.0
555,Alex Bernier,9.0
556,Alex Blum,9.0
557,Alex Boling,9.0
558,Alex Borstein,10.0
559,Alex Chance Browning,11.0
560,Alex Cox,11.0
561,Alex Cross,10.0
562,Alex D. Linz,11.0
563,Alex Diaz Whitlock,11.0
564,Alex Dunkelman,9.0
565,Alex Désert,11.0
566,Alex Eilhauer,11.0
567,Alex Fletcher,11.0
568,Alex Forrest,11.0
569,Alex Francis,11.0
570,Alex Garcia,10.0
571,Alex Garland,11.0
572,Alex Gartner,10.0
573,Alex Gibney,10.0
574,Alex Goran,11.0
575,Alex Heineman,10.0
576,Alex Hirst,11.0
577,Alex Jensen,9.0
578,Alex Johns,11.0
579,Alex Johnson / Sarah,11.0
580,Alex Jones,11.0
581,Alex Kendrick,10.0
582,Alex Kingston,11.0
583,Alex Kurtzman,10.0
584,Alex Larson,11.0
585,Alex Manette,11.0
586,Alex McArthur,11.0
587,Alex Minetti,11.0
588,Alex Munday,10.0
589,Alex O'Connell,11.0
590,Alex O'Loughlin,11.0
591,Alex Orlovsky,10.0
592,Alex Owens,11.0
593,Alex Pettyfer,9.0
594,Alex Proyas,14.0
595,Alex Rider,9.0
596,Alex Rivera,9.0
597,Alex Rocco,10.0
598,Alex Rodin,11.0
599,Alex Roe,11.0
600,Alex Rose,9.0
601,Alex Russell,10.0
602,Alex Shaw,11.0
603,Alex Sheldon / Adam Shipley,9.0
604,Alex Siskin,11.0
605,Alex Thomas,11.0
606,Alex Veadov,11.0
607,Alex Vincent,10.0
608,Alex West,11.0
609,Alex Wheatley,11.0
610,Alex Winter,11.0
611,Alex Wyler,11.0
612,Alex Young,10.0
613,Alexa,10.0
614,Alexa Faigen,11.0
615,Alexa PenaVega,10.0
616,Alexa Woods,11.0
617,Alexander,9.0
618,Alexander 'Alex' Kerner,11.0
619,Alexander - Roger Grant,11.0
620,Alexander Andrews,11.0
621,Alexander Asefa,11.0
622,Alexander B. Collett,11.0
623,Alexander Carroll,10.0
624,Alexander Conklin,11.0
625,Alexander Cooper,11.0
626,Alexander Corvinus,11.0
627,Alexander Dane,11.0
628,Alexander DiPersia,11.0
629,Alexander Dostal,10.0
630,Alexander Godunov,11.0
631,Alexander Gould,11.0
632,Alexander Haig,9.0
633,Alexander Hartdegen,11.0
634,Alexander Ludwig,11.0
635,Alexander Payne,9.0
636,Alexander Pierce,11.0
637,Alexander Pollock,11.0
638,Alexander Rodnyansky,10.0
639,Alexander Scheer,9.0
640,Alexander Scott,9.0
641,Alexander Siddig,10.0
642,Alexander Skarsgård,10.0
643,Alexander Tabrizi,9.0
644,Alexander Witt,11.0
645,Alexander Yves Brunner,10.0
646,Alexandra Daddario,10.0
647,Alexandra Holden,9.0
648,Alexandra King,11.0
649,Alexandra Maria Lara,10.0
650,Alexandra Milchan,9.0
651,Alexandra Rapaport,11.0
652,Alexandra Rover,11.0
653,Alexandre Aja,9.0
654,Alexandre Rockwell,11.0
655,Alexandre Rodrigues,11.0
656,Alexandru Potocean,11.0
657,Alexanya Atoz,11.0
658,Alexei,11.0
659,Alexei Vostrikov,9.0
660,Alexie Gilmore,9.0
661,Alexis,10.0
662,Alexis Alexanian,11.0
663,Alexis Bledel,10.0
664,Alexis Dziena,10.0
665,Alexis Georgoulis,11.0
666,Alexis Smith,9.0
667,Alexis Vonarb,9.0
668,Alexz Johnson,11.0
669,Alfie,9.0
670,Alfie Allen,11.0
671,Alfonso Cuarón,10.0
672,Alfonso Freeman,11.0
673,Alfonz,11.0
674,Alfre Woodard,16.0
675,Alfred,10.0
676,Alfred Abel,9.0
677,Alfred Borden,11.0
678,Alfred Gough,10.0
679,Alfred Hitchcock,10.0
680,Alfred Ludlow,11.0
681,Alfred Molina,10.0
682,Alfred P. Doolittle,11.0
683,Alfred Pennyworth,10.0
684,Alfred Uhry,11.0
685,Ali,10.0
686,Ali Bell,10.0
687,Ali Fadhil,9.0
688,Ali Kerim Bey,11.0
689,Ali Larter,9.0
690,Ali Rey,11.0
691,Ali Suliman,10.0
692,Ali's Father,11.0
693,Alia Shawkat,9.0
694,Alice,10.0
695,"Alice ""Ali"" Rose",11.0
696,Alice Ayres,11.0
697,Alice Braga,10.0
698,Alice Cullen,10.0
699,Alice Dainard,11.0
700,Alice Deane,11.0
701,Alice Dewey,9.0
702,Alice Donnikova,11.0
703,Alice Drummond,11.0
704,Alice Eklund-Ward,11.0
705,Alice Englert,10.0
706,Alice Evans,11.0
707,Alice Eve,10.0
708,Alice Faye,11.0
709,Alice Fournier,11.0
710,Alice Glover,9.0
711,Alice Hardy,11.0
712,Alice Harford,11.0
713,Alice Hunt,11.0
714,Alice Johnson,10.0
715,Alice Kepley,11.0
716,Alice Kingsleigh,10.0
717,Alice Kinian,9.0
718,Alice Krige,10.0
719,Alice Lomax,11.0
720,Alice Marano,9.0
721,Alice Monroe,9.0
722,Alice More,11.0
723,Alice Munro,11.0
724,Alice Parkinson,11.0
725,Alice Patten,11.0
726,Alice Poulson,9.0
727,Alice Sutton,11.0
728,Alice Sycamore,11.0
729,Alice Wang,11.0
730,Alice/Goose (voice),11.0
731,Alicia DeGasario,11.0
732,Alicia Goranson,11.0
733,Alicia Keys,11.0
734,Alicia Nash,11.0
735,Alicia Silverstone,10.0
736,Alicia Van Couvering,11.0
737,Alicia Vela-Bailey,11.0
738,Alicia Vikander,9.0
739,Alicia Wallenbeck,9.0
740,Alicia Witt,10.0
741,Alicja Bachleda-Curuś,9.0
742,Alien,11.0
743,Alien (voice),9.0
744,Aline Cedrac,9.0
745,Alisa Khazanova,11.0
746,Alisdair Stewart,11.0
747,Alisha Naragsheth,9.0
748,Alison,9.0
749,Alison Armitage,11.0
750,Alison Barry,9.0
751,Alison Brie,10.0
752,Alison Bromley,11.0
753,Alison Callaway,11.0
754,Alison Doody,11.0
755,Alison Eastwood,9.0
756,Alison Gordon,11.0
757,Alison Greenspan,10.0
758,Alison Lohman,9.0
759,Alison Mayhew,11.0
760,Alison Owen,10.0
761,Alison Pill,11.0
762,Alison R. Rosenzweig,10.0
763,Alison Savitch,11.0
764,Alison Scott,11.0
765,Alissa,11.0
766,Alissa Ferguson,11.0
767,Alistair McGowan,11.0
768,Alistair Pratt,9.0
769,Alistair Wooley,11.0
770,Alister Grierson,11.0
771,Alix Madigan,11.0
772,Aliya,11.0
773,Allan Arbus,9.0
774,Allan Arkush,9.0
775,Allan Carr,11.0
776,Allan Dwan,11.0
777,Allan Kaufman,10.0
778,Allan Niblo,9.0
779,Allan Quatermain,11.0
780,Allan Zeman,9.0
781,Allegra Cole,11.0
782,Allegra Geller,9.0
783,Allen,10.0
784,Allen Altman,11.0
785,Allen Bauer,11.0
786,Allen Covert,10.0
787,Allen Danziger,11.0
788,Allen Evangelista,11.0
789,Allen Hughes,9.0
790,Allen Joseph,11.0
791,Allen Leech,11.0
792,Allen Payne,10.0
793,Allen Shapiro,9.0
794,Alley,11.0
795,Alliance Atlantis Communications,10.0
796,Alliance Films,10.0
797,Allie,11.0
798,Allie Calhoun,11.0
799,Allie Halcombe,9.0
800,Allie Hamilton,11.0
801,Allie Mickelson,11.0
802,Allied Artists Pictures,9.0
803,Allison,9.0
804,Allison Abbate,11.0
805,Allison Anders,11.0
806,Allison Bromley,11.0
807,Allison Cratchley,11.0
808,Allison Dean,11.0
809,Allison Janney,10.0
810,Allison Jimeno,11.0
811,Allison Lyon Segan,10.0
812,Allison Mackie,9.0
813,Allison Miller,10.0
814,Allison Parrish,11.0
815,Allison Shearmur,10.0
816,Allison Thomas,9.0
817,Allison Tolman,10.0
818,Allison Volk,11.0
819,Allon Reich,10.0
820,Ally Darling,11.0
821,Ally Sheedy,10.0
822,Ally Walker,11.0
823,Allyson,11.0
824,Alma 'Lorene' Burke,11.0
825,Alma Beers del Mar,11.0
826,Alma Brown,11.0
827,Alma Dray,11.0
828,Alma Moore,11.0
829,Almond,9.0
830,Alonna Shaw,11.0
831,Alonzo,11.0
832,Alonzo Harris,11.0
833,Altagracia Guzman,11.0
834,Altavista Films,11.0
835,Altha Carter,9.0
836,Alton Meyer,9.0
837,Alun Armstrong,10.0
838,Alvaro Guerrero,11.0
839,Alvin (voice),10.0
840,Alvin Begleiter,9.0
841,Alvin Dewey,11.0
842,Alvin Franklin,11.0
843,Alvin Karpis,11.0
844,Alvy Singer,11.0
845,Aly Michalka,10.0
846,Alycia Debnam-Carey,11.0
847,Alyson Hannigan,9.0
848,Alyson Stoner,11.0
849,Alyssa,9.0
850,Alyssa Jones,11.0
851,Amadeo (voice),11.0
852,Amador,9.0
853,Amakasu,11.0
854,Amancaya Aguilar,9.0
855,Amanda,10.0
856,Amanda Brooks,9.0
857,Amanda Bynes,9.0
858,Amanda Collier,11.0
859,Amanda Crew,9.0
860,Amanda Detmer,9.0
861,Amanda Givens,9.0
862,Amanda Juarez,11.0
863,Amanda Kirby,11.0
864,Amanda Moshay,11.0
865,Amanda Peet,10.0
866,Amanda Pierce,9.0
867,Amanda Plummer,11.0
868,Amanda Posey,10.0
869,Amanda Scarano,11.0
870,Amanda Schull,9.0
871,Amanda Seyfried,10.0
872,Amanda Shelton,9.0
873,Amanda Silver,10.0
874,Amanda Tapping,11.0
875,Amanda Waller,11.0
876,Amanda Whurlitzer,11.0
877,Amanda Woods,11.0
878,Amanda Wyss,11.0
879,Amanda Young,11.0
880,Amar'e Stoudemire,11.0
881,Amara Miller,11.0
882,Amaury Nolasco,11.0
883,Ambassador Bennington,11.0
884,Amber,9.0
885,Amber Armstrong,11.0
886,Amber Atkins,11.0
887,Amber Heard,10.0
888,Amber Leighton,9.0
889,Amber Mendez,11.0
890,Amber Rose Revah,11.0
891,Amber Smith,9.0
892,Amber Tamblyn,10.0
893,Amber Valletta,10.0
894,Amber Waves - Maggie,11.0
895,Amblin Entertainment,9.0
896,Ambrose Roche,9.0
897,Ambrosia,9.0
898,Ambrosinus,9.0
899,Amedeo Pagani,11.0
900,Amedée,11.0
901,Ameilia Sarah Dedham,11.0
902,Amelia,9.0
903,"Amelia ""Mia"" Thermopolis",11.0
904,Amelia Curtis,9.0
905,Amelia Donaghy,11.0
906,Amelia Earhart,11.0
907,Amelia Kavan,11.0
908,Amelia Sedley,9.0
909,Amelia Warner,9.0
910,Amelia Warren,11.0
911,Amen Ra Films,9.0
912,America Ferrera,10.0
913,America Olivo,9.0
914,American Film Institute (AFI),11.0
915,American Filmworks,9.0
916,American Zoetrope,9.0
917,Amidou,9.0
918,Amila Terzimehic,11.0
919,Amir,11.0
920,Amir Abdullah,11.0
921,Amir Farrokh Hashemian,11.0
922,Amir Zbeda,11.0
923,Amitabh Bachchan,10.0
924,Aml Ameen,11.0
925,Amma Treadeau,10.0
926,Ammer,11.0
927,Ammonius,9.0
928,Amon Goeth,11.0
929,Amoukar,11.0
930,Amphiarus,11.0
931,Amr Waked,11.0
932,Amrish Puri,11.0
933,Amrita Katyal,11.0
934,Amsterdam Vallon,11.0
935,Amy,15.0
936,Amy (as Ana Claudia Talancon),9.0
937,Amy Adams,25.0
938,Amy Baer,11.0
939,Amy Brand,9.0
940,Amy Brenneman,10.0
